,begin_date,institution,type,causative1,setting,end_date,latitude,longitude,Month,Year,_dt_diff
25,2016-01-25,salvation army health centre,1.0,Respiratory syncytial virus,1.0,2016-02-07,43.6775464,-79.41559170000002,January,2016,2016-01-26
26,2016-01-25,west park long term care,1.0,Respiratory syncytial virus,3.0,2016-02-11,43.690044,-79.50818129999998,January,2016,2016-01-27
27,2016-01-26,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,January,2016,2016-01-28
28,2016-01-27,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,January,2016,2016-01-29
29,2016-01-28,St. Joseph's Health Centre ,1.0,Influenza A (Not subtyped),0.0,2016-02-13,43.6405498,-79.4500166,January,2016,2016-01-30
30,2016-01-29,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,January,2016,2016-01-31
31,2016-01-30,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,January,2016,2016-02-01
32,2016-01-31,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,January,2016,2016-02-02
33,2016-02-01,castleview wychwood,1.0,Influenza A ((H1N1)pdm09),3.0,2016-02-15,43.67316900000001,-79.42178220000002,February,2016,2016-02-03
34,2016-02-02,St. Joseph's Health Centre ,1.0,Influenza A (H3),0.0,2016-02-15,43.6405498,-79.4500166,February,2016,2016-02-04
35,2016-02-02,wexford residence,1.0,Influenza B,3.0,2016-02-08,43.7439584,-79.30245040000001,February,2016,2016-02-05
36,2016-02-03,salvation army health centre,1.0,Respiratory syncytial virus,1.0,2016-02-24,43.6775464,-79.41559170000002,February,2016,2016-02-06
37,2016-02-04,belmont house retirment home,1.0,Respiratory syncytial virus,3.0,2016-02-16,42.4155006,-71.06184619999998,February,2016,2016-02-07
38,2016-02-05,west park long term care,1.0,Influenza A ((H1N1)pdm09),1.0,2016-02-19,43.690044,-79.50818129999998,February,2016,2016-02-08
39,2016-02-06,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,February,2016,2016-02-09
40,2016-02-07,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,February,2016,2016-02-10
41,2016-02-08,west park long term care,1.0,Respiratory syncytial virus,3.0,2016-02-18,43.690044,-79.50818129999998,February,2016,2016-02-11
42,2016-02-09,st john's rehabilitation centre,1.0,Influenza A (H3N2),1.0,2016-02-23,43.787545400000006,-79.40405679999998,February,2016,2016-02-12
43,2016-02-10,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,February,2016,2016-02-13
44,2016-02-11,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,February,2016,2016-02-14
45,2016-02-12,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,February,2016,2016-02-15
46,2016-02-13,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,February,2016,2016-02-16
47,2016-02-14,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,February,2016,2016-02-17
48,2016-02-15,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,February,2016,2016-02-18
49,2016-02-16,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,February,2016,2016-02-19
50,2016-02-17,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,February,2016,2016-02-20
51,2016-02-18,sunnybrook health sciences centre,1.0,Respiratory syncytial virus,3.0,2016-03-05,43.72284570000001,-79.37287490000001,February,2016,2016-02-21
52,2016-02-19,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,February,2016,2016-02-22
53,2016-02-20,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,February,2016,2016-02-23
54,2016-02-21,Providence Healthcare ,1.0,Influenza A ((H1N1)pdm09),3.0,2016-02-25,43.71294140000001,-79.2851737,February,2016,2016-02-24
55,2016-02-22,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,February,2016,2016-02-25
56,2016-02-23,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,February,2016,2016-02-26
57,2016-02-24,o'neill centre,1.0,Influenza B,3.0,2016-03-15,43.6647536,-79.41868529999998,February,2016,2016-02-27
58,2016-02-24,sunnybrook health sciences centre,1.0,Influenza A (H3N2),3.0,2016-03-06,43.72284570000001,-79.37287490000001,February,2016,2016-02-28
59,2016-02-25,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,February,2016,2016-02-29
60,2016-02-26,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,February,2016,2016-03-01
61,2016-02-27,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,February,2016,2016-03-02
62,2016-02-28,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,February,2016,2016-03-03
63,2016-02-29,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,February,2016,2016-03-04
64,2016-03-01,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,March,2016,2016-03-05
65,2016-03-02,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,March,2016,2016-03-06
66,2016-03-03,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,March,2016,2016-03-07
67,2016-03-04,st john's rehabilitation centre,1.0,Coronavirus,1.0,2016-03-17,43.787545400000006,-79.40405679999998,March,2016,2016-03-08
68,2016-03-05,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,March,2016,2016-03-09
69,2016-03-06,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,March,2016,2016-03-10
70,2016-03-07,Providence Healthcare ,1.0,Influenza B,1.0,2016-03-13,43.71294140000001,-79.2851737,March,2016,2016-03-11
71,2016-03-08,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,March,2016,2016-03-12
72,2016-03-09,salvation army health centre,1.0,Influenza B,4.0,2016-03-17,43.69943320000001,-79.3931532,March,2016,2016-03-13
73,2016-03-09,st john's rehabilitation centre,1.0,Influenza B,1.0,2016-03-17,43.787545400000006,-79.40405679999998,March,2016,2016-03-14
74,2016-03-09,castleview wychwood,1.0,Influenza A ((H1N1)pdm09),3.0,2016-03-19,43.67316900000001,-79.42178220000002,March,2016,2016-03-15
75,2016-03-10,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,March,2016,2016-03-16
76,2016-03-11,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,March,2016,2016-03-17
77,2016-03-12,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,March,2016,2016-03-18
78,2016-03-13,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,March,2016,2016-03-19
79,2016-03-14,tendercare living centre,1.0,Metapneumovirus,3.0,2016-04-01,43.8057618,-79.33597999999998,March,2016,2016-03-20
80,2016-03-14,chartwell gibson long term care home,1.0,Respiratory syncytial virus,3.0,2016-03-28,43.8076512,-79.3737903,March,2016,2016-03-21
81,2016-03-14,midland gardens community,1.0,Influenza A ((H1N1)pdm09),3.0,2016-04-05,43.70835,-79.24749299999998,March,2016,2016-03-22
82,2016-03-14,camh,1.0,Unable to identify,1.0,2016-03-23,43.6430754,-79.41731920000002,March,2016,2016-03-23
83,2016-03-14,cummer lodge,1.0,Streptococcus pyogenes,3.0,2016-06-15,43.7881531,-79.40755829999998,March,2016,2016-03-24
84,2016-03-15,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,March,2016,2016-03-25
85,2016-03-16,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,March,2016,2016-03-26
86,2016-03-17,belmont house retirment home,1.0,Metapneumovirus,3.0,2016-03-30,42.4155006,-71.06184619999998,March,2016,2016-03-27
87,2016-03-18,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,March,2016,2016-03-28
88,2016-03-19,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,March,2016,2016-03-29
89,2016-03-20,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,March,2016,2016-03-30
90,2016-03-21,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,March,2016,2016-03-31
91,2016-03-22,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,March,2016,2016-04-01
92,2016-03-23,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,March,2016,2016-04-02
93,2016-03-24,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,March,2016,2016-04-03
94,2016-03-25,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,March,2016,2016-04-04
95,2016-03-26,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,March,2016,2016-04-05
96,2016-03-27,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,March,2016,2016-04-06
97,2016-03-28,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,March,2016,2016-04-07
98,2016-03-29,North York General Hospital ,1.0,Influenza A ((H1N1)pdm09),0.0,2016-04-05,43.76944570000001,-79.3625064,March,2016,2016-04-08
99,2016-03-30,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,March,2016,2016-04-09
100,2016-03-31,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,March,2016,2016-04-10
101,2016-04-01,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,April,2016,2016-04-11
102,2016-04-02,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,April,2016,2016-04-12
103,2016-04-03,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,April,2016,2016-04-13
104,2016-04-04,salvation army health centre,1.0,Metapneumovirus,1.0,2016-04-10,43.6775464,-79.41559170000002,April,2016,2016-04-14
105,2016-04-04,west park long term care,1.0,Coronavirus,1.0,2016-04-22,43.690044,-79.50818129999998,April,2016,2016-04-15
106,2016-04-05,sunnybrook health sciences centre,1.0,Enterovirus/Rhinovirus,3.0,2016-04-22,43.72284570000001,-79.37287490000001,April,2016,2016-04-16
107,2016-04-05,st john's rehabilitation centre,1.0,Influenza B,1.0,2016-04-11,43.787545400000006,-79.40405679999998,April,2016,2016-04-17
108,2016-04-06,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,April,2016,2016-04-18
109,2016-04-07,midland gardens community,1.0,Parainfluenza type 1,3.0,2016-05-11,43.70835,-79.24749299999998,April,2016,2016-04-19
110,2016-04-08,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,April,2016,2016-04-20
111,2016-04-09,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,April,2016,2016-04-21
112,2016-04-10,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,April,2016,2016-04-22
113,2016-04-11,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,April,2016,2016-04-23
114,2016-04-12,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,April,2016,2016-04-24
115,2016-04-13,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,April,2016,2016-04-25
116,2016-04-14,sunnybrook health sciences centre,1.0,Influenza B,0.0,2016-04-25,43.72284570000001,-79.37287490000001,April,2016,2016-04-26
117,2016-04-15,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,April,2016,2016-04-27
118,2016-04-16,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,April,2016,2016-04-28
119,2016-04-17,better living thompson house,1.0,Influenza B,3.0,2016-05-02,43.732384,-79.347427,April,2016,2016-04-29
120,2016-04-18,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,April,2016,2016-04-30
121,2016-04-19,sunnybrook health sciences centre,1.0,Coronavirus,3.0,2016-04-29,43.72284570000001,-79.37287490000001,April,2016,2016-05-01
122,2016-04-20,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,April,2016,2016-05-02
123,2016-04-21,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,April,2016,2016-05-03
124,2016-04-22,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,April,2016,2016-05-04
125,2016-04-23,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,April,2016,2016-05-05
126,2016-04-24,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,April,2016,2016-05-06
127,2016-04-25,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,April,2016,2016-05-07
128,2016-04-26,o'neill centre,1.0,Respiratory syncytial virus,3.0,2016-05-06,43.6647536,-79.41868529999998,April,2016,2016-05-08
129,2016-04-27,sunnybrook health sciences centre,1.0,Coronavirus,3.0,2016-05-15,43.72284570000001,-79.37287490000001,April,2016,2016-05-09
130,2016-04-28,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,April,2016,2016-05-10
131,2016-04-29,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,April,2016,2016-05-11
132,2016-04-30,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,April,2016,2016-05-12
133,2016-05-01,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,May,2016,2016-05-13
134,2016-05-02,chartwell gibson long term care home,1.0,Influenza B,4.0,2016-05-16,43.80778220000001,-79.37282239999998,May,2016,2016-05-14
135,2016-05-02,sunnybrook health sciences centre,1.0,Coronavirus,3.0,2016-05-20,43.72284570000001,-79.37287490000001,May,2016,2016-05-15
136,2016-05-02,west park long term care,1.0,Influenza B,1.0,2016-05-11,43.690044,-79.50818129999998,May,2016,2016-05-16
137,2016-05-03,castleview wychwood,1.0,Influenza A (H3),3.0,2016-05-08,43.67316900000001,-79.42178220000002,May,2016,2016-05-17
138,2016-05-04,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,May,2016,2016-05-18
139,2016-05-05,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,May,2016,2016-05-19
140,2016-05-06,wexford residence,1.0,Metapneumovirus,3.0,2016-05-19,43.7439584,-79.30245040000001,May,2016,2016-05-20
141,2016-05-07,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,May,2016,2016-05-21
142,2016-05-08,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,May,2016,2016-05-22
143,2016-05-09,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,May,2016,2016-05-23
144,2016-05-10,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,May,2016,2016-05-24
145,2016-05-11,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,May,2016,2016-05-25
146,2016-05-12,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,May,2016,2016-05-26
147,2016-05-13,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,May,2016,2016-05-27
148,2016-05-14,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,May,2016,2016-05-28
149,2016-05-15,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,May,2016,2016-05-29
150,2016-05-16,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,May,2016,2016-05-30
151,2016-05-17,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,May,2016,2016-05-31
152,2016-05-18,sunnybrook health sciences centre,1.0,Enterovirus/Rhinovirus,3.0,2016-05-26,43.72284570000001,-79.37287490000001,May,2016,2016-06-01
153,2016-05-19,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,May,2016,2016-06-02
154,2016-05-20,rockcliffe,1.0,Metapneumovirus,3.0,2016-05-27,43.7546689,-79.2478902,May,2016,2016-06-03
155,2016-05-21,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,May,2016,2016-06-04
156,2016-05-22,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,May,2016,2016-06-05
157,2016-05-23,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,May,2016,2016-06-06
158,2016-05-24,salvation army health centre,1.0,Unable to identify,1.0,2016-06-01,43.6775464,-79.41559170000002,May,2016,2016-06-07
159,2016-05-25,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,May,2016,2016-06-08
160,2016-05-26,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,May,2016,2016-06-09
161,2016-05-27,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,May,2016,2016-06-10
162,2016-05-28,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,May,2016,2016-06-11
163,2016-05-29,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,May,2016,2016-06-12
164,2016-05-30,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,May,2016,2016-06-13
165,2016-05-31,sunnybrook health sciences centre,1.0,Enterovirus/Rhinovirus,3.0,2016-06-18,43.72284570000001,-79.37287490000001,May,2016,2016-06-14
166,2016-06-01,st john's rehabilitation centre,1.0,Influenza A (H3N2),1.0,2016-06-09,43.787545400000006,-79.40405679999998,June,2016,2016-06-15
167,2016-06-02,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,June,2016,2016-06-16
168,2016-06-03,midland gardens community,1.0,Coronavirus,3.0,2016-06-30,43.70835,-79.24749299999998,June,2016,2016-06-17
169,2016-06-04,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,June,2016,2016-06-18
170,2016-06-05,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,June,2016,2016-06-19
171,2016-06-06,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,June,2016,2016-06-20
172,2016-06-07,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,June,2016,2016-06-21
173,2016-06-08,sunnybrook health sciences centre,1.0,Enterovirus/Rhinovirus,3.0,2016-06-21,43.72284570000001,-79.37287490000001,June,2016,2016-06-22
174,2016-06-09,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,June,2016,2016-06-23
175,2016-06-10,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,June,2016,2016-06-24
176,2016-06-11,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,June,2016,2016-06-25
177,2016-06-12,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,June,2016,2016-06-26
178,2016-06-13,sunnybrook health sciences centre,1.0,Enterovirus/Rhinovirus,3.0,2016-06-20,43.72284570000001,-79.37287490000001,June,2016,2016-06-27
179,2016-06-14,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,June,2016,2016-06-28
180,2016-06-15,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,June,2016,2016-06-29
181,2016-06-16,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,June,2016,2016-06-30
182,2016-06-17,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,June,2016,2016-07-01
183,2016-06-18,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,June,2016,2016-07-02
184,2016-06-19,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,June,2016,2016-07-03
185,2016-06-20,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,June,2016,2016-07-04
186,2016-06-21,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,June,2016,2016-07-05
187,2016-06-22,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,June,2016,2016-07-06
188,2016-06-23,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,June,2016,2016-07-07
189,2016-06-24,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,June,2016,2016-07-08
190,2016-06-25,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,June,2016,2016-07-09
191,2016-06-26,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,June,2016,2016-07-10
192,2016-06-27,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,June,2016,2016-07-11
193,2016-06-28,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,June,2016,2016-07-12
194,2016-06-29,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,June,2016,2016-07-13
195,2016-06-30,west park long term care,1.0,Parainfluenza type 3,1.0,2016-07-09,43.690044,-79.50818129999998,June,2016,2016-07-14
196,2016-07-01,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,July,2016,2016-07-15
197,2016-07-02,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,July,2016,2016-07-16
198,2016-07-03,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,July,2016,2016-07-17
199,2016-07-04,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,July,2016,2016-07-18
200,2016-07-05,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,July,2016,2016-07-19
201,2016-07-06,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,July,2016,2016-07-20
202,2016-07-07,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,July,2016,2016-07-21
203,2016-07-08,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,July,2016,2016-07-22
204,2016-07-09,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,July,2016,2016-07-23
205,2016-07-10,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,July,2016,2016-07-24
206,2016-07-11,yee hong centre for geriatric care,1.0,Parainfluenza type 3,3.0,2016-07-25,43.80870820000001,-79.25466209999998,July,2016,2016-07-25
207,2016-07-12,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,July,2016,2016-07-26
208,2016-07-13,sunnybrook health sciences centre,1.0,Enterovirus/Rhinovirus,3.0,2016-07-30,43.72284570000001,-79.37287490000001,July,2016,2016-07-27
209,2016-07-14,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,July,2016,2016-07-28
210,2016-07-15,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,July,2016,2016-07-29
211,2016-07-16,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,July,2016,2016-07-30
212,2016-07-17,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,July,2016,2016-07-31
213,2016-07-18,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,July,2016,2016-08-01
214,2016-07-19,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,July,2016,2016-08-02
215,2016-07-20,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,July,2016,2016-08-03
216,2016-07-21,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,July,2016,2016-08-04
217,2016-07-22,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,July,2016,2016-08-05
218,2016-07-23,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,July,2016,2016-08-06
219,2016-07-24,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,July,2016,2016-08-07
220,2016-07-25,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,July,2016,2016-08-08
221,2016-07-26,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,July,2016,2016-08-09
222,2016-07-27,chartwell gibson long term care home,1.0,Parainfluenza type 3,3.0,2016-08-27,43.8076512,-79.3737903,July,2016,2016-08-10
223,2016-07-28,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,July,2016,2016-08-11
224,2016-07-29,better living thompson house,1.0,Rhinovirus,3.0,2016-08-08,43.732384,-79.347427,July,2016,2016-08-12
225,2016-07-30,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,July,2016,2016-08-13
226,2016-07-31,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,July,2016,2016-08-14
227,2016-08-01,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,August,2016,2016-08-15
228,2016-08-02,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,August,2016,2016-08-16
229,2016-08-03,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,August,2016,2016-08-17
230,2016-08-04,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,August,2016,2016-08-18
231,2016-08-05,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,August,2016,2016-08-19
232,2016-08-06,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,August,2016,2016-08-20
233,2016-08-07,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,August,2016,2016-08-21
234,2016-08-08,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,August,2016,2016-08-22
235,2016-08-09,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,August,2016,2016-08-23
236,2016-08-10,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,August,2016,2016-08-24
237,2016-08-11,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,August,2016,2016-08-25
238,2016-08-12,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,August,2016,2016-08-26
239,2016-08-13,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,August,2016,2016-08-27
240,2016-08-14,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,August,2016,2016-08-28
241,2016-08-15,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,August,2016,2016-08-29
242,2016-08-16,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,August,2016,2016-08-30
243,2016-08-17,nl,0.0,unknown,6.0,2018-12-11,43.65,-79.38,August,2016,2016-08-31
